End of Inspection,Plant,Region,Supplier,,Inspection Lot No.,Quantity (USG),"010A COLOR, SAYBOLT","010B COLOR,",100C TOTAL ACID NUMBER MG KOH/G,110A AROMATICS % VOL,130 MERCAPTAN SULFUR,140 DOCTOR TEST,150A SULFUR - OXYGEN BOMB %(M),150B TOTAL SULFUR %(M),150D SULFUR - X-RAY %(M),150E TOTAL SULFUR %(M),150F SULFUR - X-RAY FLUORESCENCE %(M),"150G SULFUR, TOTAL  %(M)","150IPA SULFUR, TOTAL",160A HYDROGEN CONTENT %(M),160B HYDROGEN CONTENT %(M),160E HYDROGEN CONTENT,020 APPEARANCE,200A TEST METHOD D86,200B TEST METHOD D2887,201 DIST TEMP:  INITIAL BOILING POINT,202 DIST TEMP:  10% EVAPORATED,203 DIST TEMP:  20% EVAPORATED,204 DIST TEMP:  50% EVAPORATED,206 DIST TEMP: 90% EVAPORATED,021 APPEARANCE,211 DIST TEMP: FINAL BOILING POINT,213 DIST TEMP: RESIDUE,214 DIST TEMP: LOSS,220A FLASH POINT,220B FLASH POINT,220C FLASH POINT,220IPA FLASH POINT,230A DENSITY @ 15蚓 KG/L,230B SPECIFIC GRAVITY @ 60/60蚌  KG/L,231B API GRAVITY - DIGITAL (API),300A FREEZING POINT,300C FREEZING POINT,300E FREEZING POINT,300F FREEZING POINT,310 VISCOSITY @ -54蚓 (MM2/S),231A API GRAVITY,400C NET HEAT OF COMBUSTION MJ/KG,400D NET HEAT OF COMBUSTION MJ/KG,400E NET HEAT OF COMBUSTION MJ/KG,420 SMOKE POINT MM,500 COPPER STRIP CORROSION (2 H @ 100蚓),600A THERMAL STABILITY @ 275C,600B THERMAL STABILITY @ 260C,601 CHANGE IN PRESSURE,"602 TUBE DEPOSIT RATING, VISUAL",602A ELLIPSOMETRIC TUBE RATING,710 EXISTENT GUM,710IPA EXISTENT GUM,720A PARTICULATE MATTER,720B PARTICULATE MATTER,723 PARTICULATE COUNTING  >= 4 然,723A PARTICULATE COUNTING  ISO >= 4 然,724 PARTICULATE COUNTING= 6 然,724A PARTICULATE COUNTING ISO = 6 然,726 PARTICULATE COUNTING  >= 14 然,726A PARTICULATE COUNTING  ISO>= 14 然,727 PARTICULATE COUNTING  >= 21 然,727A PARTICULATE COUNTING  ISO>= 21 然,728 PARTICULATE COUNTING  >= 25 然,728A PARTICULATE COUNTING  ISO>= 25 然,729 PARTICULATE COUNTING  >= 30 然,729A PARTICULATE COUNTING  ISO>= 30 然,730 FILTRATION TIME,750 WSIM,750A MICROSEPAROMETER RATING,750B MICROSEPAROMETER RATING,800 ANTI-OXIDANT,802 ANTIOXIDANT CONCENTRATION,801 ANTIOXIDANT ADDITIVE INJECTION POINT,821 SDA INJECTION POINT,830A FSII,831FSII INJECTION POINT,840 CORROSION INHIBITOR,841 CI INJECTION POINT,842 CORROSION INHIBITOR CONCENTRATION,910A CALCULATED CETANE INDEX,910B CALCULATED CETANE INDEX,BATCH NUMBER,CRUDE PROCESS TECH,PRODUCT,REPORT DATE,SAMPLE NUMBER,SHIPMENT NUMBER,TANK NUMBER,120 NAPHTHALENE,725IPA PARTICULATE COUNTING,725IPB PARTICULATE COUNTING,725IPC PARTICULATE COUNTING,740 WATER REACTION INTERFACE RATING,812 METAL DEACTIVATOR CONCENTRATION,811 METAL DEACTIVATOR INJECTION POINT,820 STATIC DISSIPATER,900 ELECTRICAL CONDUCTIVITY,990A FAME CONTENT,990B FAME CONTENT
3/18/2014,EOMB,"OA Mobile, AL (OAMB)",Not assigned,#,50000005250,"2,103,194",27,,,,,,,,,,,,,,,,PASS,0,,149,175,182,202,240,1,264,0.8,0.4,48,,,,,0.802,,,-50,,,,44.9,,,,,1A,,,,,,0.2,,,0.5,,,,,,,,,,,,,6,,40,,,,,,0.09,,14.2,,,,,350900,STRAIGHT,JP8,3/18/2014,,DLA0317Z,FMT3076,,,,,1B,,,1,273,,
3/18/2014,EOMB,"OA Mobile, AL (OAMB)",Not assigned,#,50000005251,"2,103,194",27,,,,,,,,,,,,,,,,PASS,0,,148,175,182,202,240,1,264,1,0.3,46,,,,,0.802,,,-49,,,,44.9,,,,,1A,,,,,,0.2,,,0.8,,,,,,,,,,,,,6,,47,,,,,,0.09,,14.2,,,,,350900,STRAIGHT,JP8,3/18/2014,,DLA0317Z,FMT3250,,,,,1B,,,1,278,,
3/18/2014,EONP,OA Alaska,Not assigned,#,50000005300,"18,774",30,,0.02,19.5,0.0006,,,,,,0.09,,,13.9,,,,,,139,161,170,196,247,1,267,1,0.3,40,,,,,0.813,42.6,,,-49,,4.4,,43,,,21,1A,600A  275C,,0,2,,1,,,0.1,,,,,,,,,,,,,5,,,99,,,,,0.09,,15.3,,,37.7,,,ATMOSPHERIC DISTILATION,JP8,3/14/2014,031114D-0292,DLA0317,D,2.3,,,,1,,,,322,,
3/18/2014,EONP,OA Alaska,PETRO STAR INC.,Rocky Mountain West JP4/JP8/JAB/JAA,10000032654,"18,774",30,,0.02,19.5,0.0006,,,,,,0.09,,,13.9,,,,,,139,161,170,196,247,1,267,1,0.3,41,,,,,0.813,42.6,,,-49,,4.4,,43,,,21,1A,600A  275C,,0,2,,1,,,0.1,,,,,,,,,,,,,5,,,99,,,,,0.08,,15.3,,,37.7,,,ATMOSPHERIC DISTILAION,JP8,3/11/2014,031114D-0292,DLA0317,D,2.3,,,,1,,,,378,,
3/18/2014,EOWN,"OA Wynnewood, OK","WYNNEWOOD ENERGY COMPANY, LLC",Inland East Gulf JP8 JP4 JAA,10000033251,"150,582",20,,0.004,13.2,,NEGATIVE,,,,,0.04,,,13.9,,,PASS,,,151,168,173,187,215,,242,1.2,0.4,,40,,,0.7959,,,,,-62,,3.39,46.2,43.3,,,26,1A,600A  275C,,0,1,,0.8,,,0.343,,,,,,,,,,,,,6,,89,,,,,,0.121,,10.4,,,40.3,,14-74-8,,JP8,3/17/2014,,DLA0317,1441,,,,,1B,,,,,,
3/18/2014,EOWN,"OA Wynnewood, OK","WYNNEWOOD ENERGY COMPANY, LLC",Inland East Gulf JP8 JP4 JAA,10000033252,"45,177",20,,0.004,13.2,,NEGATIVE,,,,,0.04,,,13.9,,,PASS,,,151,168,173,187,215,,242,1.2,0.4,,40,,,0.7959,,,,,-62,,3.39,46.2,,,43.3,26,1A,,,0,1,,0.8,,,0.343,,,,,,,,,,,,,6,,89,,,,,,0.121,,10.4,,,40.3,,14-74-8,,JP8,3/17/2014,,DLA0317,1441,,,,,1B,,,,,,
3/18/2014,EOWN,"OA Wynnewood, OK","WYNNEWOOD ENERGY COMPANY, LLC",Inland East Gulf JP8 JP4 JAA,10000033253,"7,533",20,,0.004,13.2,,NEGATIVE,,,,,0.04,,,13.9,,,PASS,,,151,168,173,187,215,,242,1.2,0.4,,40,,,0.7959,,,,,-62,,3.39,46.2,43.3,,,26,1A,600A  275C,,0,1,,0.8,,,0.343,,,,,,,,,,,,,6,,89,,,,,,0.121,,10.4,,,40.3,,14-74-8,,JP8,3/17/2014,,DLA0317,1441,,,,,1B,,,,,,
3/19/2014,ECCW,Cheyenne APRT ANG,"HERMES CONSOLIDATED, LLC DBA",Inland East Gulf JP8 JP4 JAA,10000033256,"15,779",27,,0.0056,13.99,0.0004,,,,,,,0.0179,,14,,,PASS,,,151,161,169,180,236,,285,1,0.7,43.4,,,,,0.7994,,-52,,,,3.6,45.5,43,,,26,1A,,,0.2,<1,,0.2,,,0.3,,,,,,,,,,,,,9,94,,,,,,,,,,,,41.5,,DLA-1Q-0004A,,JP8,3/7/2014,,DLA0318,253,,,,,1,,,,,,
3/19/2014,EJSS,Joe Foss Field,TESORO REFINING  MARKETING COMPANY,Inland East Gulf JP8 JP4 JAA,10000032752,"37,939",,17,0.005,14.6,0.002,,,,,,,0.01,,,,,PASS,760,,145,172,182,206,252,,284,1,0.2,,,,,,,44.1,,-49,,,5,,43.3,,,24,1A,600A 275C,,2,1,,,,,0,,,,,,,,,,,,,6,,98,,,,,,,,,,,44.8,,,,JP8,3/1/2014,,DLA0314,4,1.8,,,,,,,,,,
3/19/2014,EJSS,Joe Foss Field,TESORO REFINING  MARKETING COMPANY,Inland East Gulf JP8 JP4 JAA,10000033404,"30,541",,,0.006,14.7,0.002,,,,,,,0.01,,,,,PASS,760,,146,172,182,208,258,21.1,290,1.2,1.2,39,,,,,,44.1,,-49,,,5,,43.3,,,22,1A,,,1,1,,,,,1,,,,,,,,,,,,,6,,82,,,,,,,,,,,45.5,,,,JP8,3/15/2014,,DLA0318,4,1.9,,,,,,,,,,
3/19/2014,EM1N,Minot AFB,TESORO REFINING  MARKETING COMPANY,Inland East Gulf JP8 JP4 JAA,10000032801,"49,227",,17,0.007,15.7,0.002,,,,,,,0.01,,,,,PASS,760,,141,171,181,206,253,21.1,284,1,0.1,40,,,,,,,,-49,,,5,,43.3,,,22,1A,,,280,1,,,,,0,,,,,,,,,,,,,5,,82,,,,,,,,,,,44.8,,,,JP8,3/17/2014,,DLA0318,726,2.1,,,,1,,,,,,
3/19/2014,EOWN,"OA Wynnewood, OK","WYNNEWOOD ENERGY COMPANY, LLC",Inland East Gulf JP8 JP4 JAA,10000034151,"45,034",20,,0.004,13.2,,NEGATIVE,,,,,0.04,,,13.9,,,PASS,,,144,168,174,187,217,,238,1.5,0.7,,42,,,0.7959,,,,,-63,,3.41,46.2,,,43.3,26,1A,,,0,1,,0.4,,,0.581,,,,,,,,,,,,,7,,98,,,,,,0.12,,10.3,,,40.7,,14-75-8,,JP8,3/18/2014,,DLA0318,501,,,,,1B,,,,,,
3/19/2014,ES1M,AASF ST Paul,TESORO REFINING  MARKETING COMPANY,Inland East Gulf JP8 JP4 JAA,10000033851,"7,626",,18,0.006,14.7,0.002,,,,,,,0.01,,13.9,,,PASS,760,,146,172,182,208,258,21.1,290,1.2,1.2,,,,,,,44.1,,-49,,,,,43.3,,,22,1A,,,1,1,,,,,1,,,,,,,,,,,,,6,,82,,,,,,,,,,,45.6,,,,JP8,3/15/2014,,DLA0317,4,1.9,,,,1,,,,,,
3/20/2014,EOWN,"OA Wynnewood, OK",Not assigned,#,50000005350,"150,087",20,,0.004,13.2,,NEGATIVE,,,,,0.04,,,13.9,,,PASS,,,144,168,174,187,217,,238,1.5,0.7,,42,,,0.7959,,,,,-63,,3.41,46.2,43.3,,,26,1A,600A  275C,,0,1,,0.4,,,0.581,,,,,,,,,,,,,7,,98,,,,,,0.12,,10.3,,,40.7,,14-75-8,,JP8,3/18/2014,,DLA0318,501,,,,,1B,,,,,,
3/20/2014,EOWN,"OA Wynnewood, OK","WYNNEWOOD ENERGY COMPANY, LLC",Inland East Gulf JP8 JP4 JAA,10000032562,"150,140",20,,0.004,13.2,,NEGATIVE,,,,,0.04,,,13.9,,,PASS,,,144,168,174,187,217,,238,1.5,0.7,,42,,,0.7959,,,,,-63,,3.41,46.2,43.3,,,26,1A,600A  275C,,0,1,,0.4,,,0.581,,,,,,,,,,,,,7,,98,,,,,,0.12,,10.3,,,40.7,,14-75-8,,JP8,3/19/2014,30,DLA0319,501,,,,,1B,,,,,,
3/20/2014,EOWN,"OA Wynnewood, OK","WYNNEWOOD ENERGY COMPANY, LLC",Inland East Gulf JP8 JP4 JAA,10000034250,"150,087",20,,0.004,13.2,,NEGATIVE,,,,,0.04,,,13.9,,,PASS,,,144,168,174,187,217,,238,1.5,0.7,,42,,,0.7959,,,,,-63,,3.41,46.2,43.3,,,26,1A,600A  275C,,0,1,,0.4,,,0.581,,,,,,,,,,,,,7,,98,,,,,,0.12,,10.3,,,40.7,,14-75-8,,JP8,3/18/2014,,DLA0318,501,,,,,1B,,,,,,
3/20/2014,EOWN,"OA Wynnewood, OK","WYNNEWOOD ENERGY COMPANY, LLC",Inland East Gulf JP8 JP4 JAA,10000034302,"44,751",20,,0.004,13.2,,NEGATIVE,,,,,0.04,,,13.9,,,PASS,,,144,168,174,187,217,,238,1.5,0.7,,42,,,0.7959,,,,,-63,,3.41,46.2,,,43.3,26,1A,,,0,1,,0.4,,,0.581,,,,,,,,,,,,,7,,98,,,,,,0.12,,10.3,,,40.7,,14-75-8,,JP8,3/19/2014,30,DLA0319,501,,,,,1B,,,,,,
3/21/2014,EDKK,DFSP GUNSAN2,Not assigned,#,50000005400,"790,231",,17,0.006,17.8,0.0013,,,,,,0.19,,,13.8,,,PASS,,,150,167,174,196,242,,262,1.2,1,,41,,,,0.803,44.7,,-53,,,3.678,,43.2,,,21,1A,600A  275C,,0.1,1,,1,,,0.1,616.9,,182.1,,16.4,,5.1,,3.2,,1.6,,5,,97,,19,,,,0.09,,9,,,41.3,,,,JP8,3/10/2014,,DLA0311Z,MFA5263,0.9,,,,1B,,,,,,
3/21/2014,EM1N,Minot AFB,TESORO REFINING  MARKETING COMPANY,Inland East Gulf JP8 JP4 JAA,10000033155,"78,702",,17,0.007,15.7,0.002,,,,,,,0.01,,13.9,,,PASS,760,,141,171,181,206,253,21.1,284,1,0.1,40,,,,,,,,-49,,,5,44.1,43.3,,,22,1A,,,280,1,,,,,0,,,,,,,,,,,,,5,,82,,,,,,,,,,,44.8,,,,JP8,3/17/2014,,DLA0320,726,2.1,,,,1,,,,,,
3/21/2014,EONP,OA Alaska,PETRO STAR INC.,Rocky Mountain West JP4/JP8/JAB/JAA,10000032565,"360,010",30,,0.02,19.5,0.0008,,,,,,0.1,,,13.9,,,,,,139,161,170,197,247,1,267,1,0.9,41,,,,,0.813,42.5,,,-48,,4.6,,43,,,22,1A,600A  275C,,0,1,,1,,,0,,,,,,,,,,,,,4,,,99,,,,,0.08,,12.6,,,37.9,,,ATMOSPHERIC DISTILATION,JP8,3/13/2014,3.13E-296,DLA0319Z,E,2.5,,,,1,,,,344,,
3/21/2014,EOSP,"OA Shreveport, LA","CALUMET SHREVEPORT FUELS, LLC.",Inland East Gulf JP8 JP4 JAA,10000034055,"7,647",,,0.007,17.8,,NEGATIVE,,,,,0.0285,,,,,,,282,,,162.2,,188.8,236.1,,,1.2,0.5,39,,,,,,,-51.5,,,,3.9,,43.4,,,26,1A,,,0,,,0.8,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,JP8,,,DLA0306,,,,,,,,,,,,
3/21/2014,EOSP,"OA Shreveport, LA","CALUMET SHREVEPORT FUELS, LLC.",Inland East Gulf JP8 JP4 JAA,10000034056,"23,379",,,0.007,16.8,,NEGATIVE,,,,,0.0309,,,,,,,275,,,161.6,,191.6,243.3,,,1,0.8,40,,,,,,,-48.1,,,,3.9,,43.4,,,30,1A,,,0,,,1.4,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,,,,,JP8,,,DLA0312,,,,,,,,,,,,
3/21/2014,EOSP,"OA Shreveport, LA","CALUMET SHREVEPORT FUELS, LLC.",Inland East Gulf JP8 JP4 JAA,10000034101,"15,642",,,0.007,17.8,,NEGATIVE,,,,,0.0285,,,,,,,282,,,162.2,,188.8,236.1,,,1.2,0.5,39,,,,,,,-51.5,,,,3.9,,43.4,,,26,1A,,,0,,,0.8,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,JP8,,,DLA0307,,,,,,,,,,,,
3/21/2014,EOWN,"OA Wynnewood, OK",Not assigned,#,50000005450,"142,662",20,,0.004,13.2,,NEGATIVE,,,,,0.04,,,13.9,,,PASS,,,144,168,174,187,217,,238,1.5,0.7,,42,,,0.7959,,,,,-63,,3.41,46.2,43.3,,,26,1A,600A  275C,,0,1,,0.4,,,0.581,,,,,,,,,,,,,7,,98,,,,,,0.12,,10.3,,,40.7,,14-75-8,,JP8,3/20/2014,,DLA0320,501,,,,,1B,,,,,,
3/21/2014,EOWN,"OA Wynnewood, OK","WYNNEWOOD ENERGY COMPANY, LLC",Inland East Gulf JP8 JP4 JAA,10000034054,"142,662",20,,0.004,13.2,,NEGATIVE,,,,,0.04,,,13.9,,,PASS,,,144,168,174,187,217,,238,1.5,0.7,,42,,,0.7959,,,,,-63,,3.41,46.2,43.3,,,26,1A,600A  275C,,0,1,,0.4,,,0.581,,,,,,,,,,,,,7,,98,,,,,,0.12,,10.3,,,40.7,,14-75-8,,JP8,3/20/2014,,DLA0320,501,,,,,1B,,,,,,
3/24/2014,ECCW,Cheyenne APRT ANG,"HERMES CONSOLIDATED, LLC DBA",Inland East Gulf JP8 JP4 JAA,10000032854,"23,881",28,,0.0035,15.3,0.0004,,,,,,,0.0207,,13.9,,,PASS,,,151,171,176,196,234,,284,1,0.7,41.8,,,,,0.8008,,-50,,,,3.89,45.2,43.3,,,26,1A,,,0,<1,,0.6,,,0.58,,,,,,,,,,,,,9,92,,,,,,,,,,,,42,,DLA-1Q-0004B,,JP8,3/17/2014,,DLA0320,251,,,,,1,,,,,,
3/24/2014,EM1N,Minot AFB,TESORO REFINING  MARKETING COMPANY,Inland East Gulf JP8 JP4 JAA,10000032954,"49,127",,17,0.007,15.7,0.002,,,,,,,0.01,,13.9,,,PASS,760,,141,171,181,206,253,21.1,284,1,0.1,40,,,,,,,,-49,,,5,44.1,43.3,,,22,1A,,,280,1,,,,,0,,,,,,,,,,,,,5,,82,,,,,,,,,,,44.8,,,,JP8,3/17/2014,,DLA0321,726,2.1,,,,1,,,,,,
3/24/2014,EOWN,"OA Wynnewood, OK","WYNNEWOOD ENERGY COMPANY, LLC",Inland East Gulf JP8 JP4 JAA,10000034104,"45,067",20,,0.004,13.2,,NEGATIVE,,,,,0.04,,,13.9,,,PASS,,,144,168,174,187,217,,238,1.5,0.7,,42,,,0.7959,,,,,-63,,3.41,46.2,,,43.3,26,1A,,,0,1,,0.4,,,0.581,,,,,,,,,,,,,7,,98,,,,,,0.12,,10.3,,,40.7,,14-75-8,,JP8,3/20/2014,,DLA0320,501,,,,,1B,,,,,,
3/25/2014,EDDM,Duluth ANG,TESORO REFINING  MARKETING COMPANY,Inland East Gulf JP8 JP4 JAA,10000032802,"30,201",,18,0.006,14.7,,,,,,,,0.01,,,,,PASS,760,,146,172,182,208,258,21.1,290,1.2,1.2,39,,,,,,44.1,,-49,,,5,,43.3,,,-18,1A,600A 275C,#,1,1,,,,,1,,,,,,,,,,,,,6,,82,,,,,,,,,,,45.5,,,,JP8,3/15/2014,,DLA0317,4,1.9,,,,1,,,,,,
3/25/2014,EM1N,Minot AFB,TESORO REFINING  MARKETING COMPANY,Inland East Gulf JP8 JP4 JAA,10000033303,"99,241",,17,0.007,15.7,0.002,,,,,,,0.01,,13.9,,,PASS,760,,141,171,181,206,253,21.1,284,1,0.1,40,,,,,,44.1,,-49,,,5,,43.3,,,22,1A,,,280,1,,,,,0,,,,,,,,,,,,,5,,82,,,,,,,,,,,44.8,,,,JP8,3/17/2014,,DLA0324,726,,,,,1,,,,,,
3/25/2014,EOBA,"OA Bay Area, CA",EQUILON ENTERPRISES LLC DBA SHELL,Rocky Mountain West JP4/JP8/JAB/JAA,10000034159,"1,685,460",,30,0.002,10,0.0003,,,,,,,0.01,,13.7,,,PASS,,,157,172,177,198,243,,274,1.3,0.6,,47,,,,0.82,41,,-63,,,4.5,,43.2,,,22,1A,,,0,<1,,1,,0.68,,,,,,,,,,,,,,9,,97,,20.3,,,,,,10.5,,,35.4,,DFSN05011,HYDROPROCESSED,JP8,3/18/2014,TANK CERTIFICATION,DLA0318Z,536,0.1,,,,1B,,,,,,
3/25/2014,EOBA,"OA Bay Area, CA",Not assigned,#,50000005520,"1,687,560",,30,,,,,,,,,,,,,,,PASS,,,,,,,,,,,,,48,,,,,41.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DFSN05010,HYDROPROCESSED,JP8,3/10/2014,START,DLA0310Z,335,,,,,,,,,,,
3/25/2014,EOBA,"OA Bay Area, CA",Not assigned,#,50000005530,"1,472,982",,30,,,,,,,,,,,,,,,PASS,,,,,,,,,,,,,48,,,,,41.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DFSN05710,HYDROPROCESSED,JP8,3/12/2014,START,DLA0312Z,334,,,,,,,,,,,
3/25/2014,EOBA,"OA Bay Area, CA",Not assigned,#,50000005538,"1,685,460",,30,0.003,10,0.0005,,,,,,,0.01,,13.8,,,PASS,,,157,171,177,197,244,,277,1.2,0.7,,47,,,,0.818,41.4,,-58,,,4.4,,,,43.2,23,1A,,,0,<1,,1,,0.26,,,,,,,,,,,,,,8,,93,,20.5,,,,,,10.7,,,,35.7,DFSN05011,HYDROPROCESSED,JP8,3/18/2014,LAB CERTIFICATION,DLA0318Z,334,0.1,,,,1B,,,,,,
3/25/2014,EOBA,"OA Bay Area, CA",Not assigned,#,50000005539,"1,685,460",,30,,,,,,,,,,,,,,,PASS,,,,,,,,,,,,,48,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DFSN05011,HYDROPROCESSED,JP8,3/18/2014,START,DLA0318Z,536,,,,,,,,,,,
3/25/2014,EOBA,"OA Bay Area, CA",Not assigned,#,50000005540,"1,685,460",,30,,,,,,,,,,,,,,,PASS,,,,,,,,,,,,,47,,,,,41.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DFSN05011,HYDROPROCESSED,JP8,3/18/2014,SWITCH,DLA0318Z,334,,,,,,,,,,,
3/25/2014,EOBA,"OA Bay Area, CA",Not assigned,#,50000005541,"1,043,070",,30,0.002,18.8,,NEGATIVE,,,0.04,,,,,13.6,,,PASS,,,180,195,202,216,239,,257,1.1,1,,63,,,,0.816,41.9,,-48,,,5.53,,43.1,,,21,1A,,,0,<1,,,,,0,,,,,,,,,,,,,4,,96,,20,,,,,,15.6,,,44.3,,5710,HYDROPROCESSING,JP8,2/25/2014,1140204698,DLA0313Z,1778,0.8,,,,,,,,,,
3/25/2014,EOBA,"OA Bay Area, CA",Not assigned,#,50000005542,"1,043,070",,30,0.002,18.1,,NEGATIVE,,,0.02,,,,,13.6,,,PASS,,,181,195,202,216,240,,258,1,1,,63,,,,0.819,41.2,,-50,,,5.65,,43.1,,,21,1B,,,0,<1,,,,,0.1,,,,,,,,,,,,,4,,98,,20.3,,,,,,15.6,,,43.1,,5710,HYDROPROCESSING,JP8,3/6/2014,1140301240,DLA0313Z,1779,0.7,,,,,,,,,,
3/25/2014,EOBA,"OA Bay Area, CA",Not assigned,#,50000005552,"1,045,968",,30,0.003,19.5,,NEGATIVE,,,0.05,,,,,13.5,,,PASS,,,176,193,201,218,245,,264,1,0.3,,61,,,,0.825,39.9,,-49,,,5.91,,43,,,20,1B,,,0,<1,,,,,0.1,,,,,,,,,,,,,4,,92,,20,,,,,,17,,,41.6,,5711,HYDROPROCESSING,JP8,3/12/2014,1140302417,DLA0321Z,1779,1.2,,,,,,,,,,
3/25/2014,EOBA,"OA Bay Area, CA",Not assigned,#,50000005553,"1,045,968",,30,0.004,18.6,,NEGATIVE,,,0.05,,,,,13.7,,,PASS,,,180,194,201,215,241,,259,0.9,1,,62,,,,0.819,41.3,,-49,,,5.59,,43.1,,,20,1A,,,0,<1,,,,,0.1,,,,,,,,,,,,,3,,,,20,,,,,,17,,,43.1,,5711,HYDROPROCESSING,JP8,3/20/2014,1140304071,DLA0321Z,1772,0.9,,,,,,,,,,
3/25/2014,EOBA,"OA Bay Area, CA",VALERO MARKETING AND SUPPLY,Rocky Mountain West JP5,10000033353,"1,043,070",,30,0.002,18.8,,NEGATIVE,,,0.04,,,,,13.6,,,PASS,,,180,195,202,216,239,,257,1.1,1,,63,,,,0.816,41.9,,-48,,,5.53,,43.1,,,21,1A,,,0,<1,,,,,0,,,,,,,,,,,,,4,,96,,20,,,,,,15.6,,,44.3,,5710,HYDROPROCESSING,JP8,2/25/2014,1140204698,DLA0313Z,1778,0.8,,,,,,,,,,
3/25/2014,EOBA,"OA Bay Area, CA",VALERO MARKETING AND SUPPLY,Rocky Mountain West JP5,10000034305,"1,045,968",,30,0.003,19.5,,NEGATIVE,,,0.05,,,,,13.5,,,PASS,,,176,193,201,218,245,,264,1,0.3,,61,,,,0.825,39.9,,-49,,,5.91,,43,,,20,1B,,,0,<1,,,,,0.1,,,,,,,,,,,,,4,,92,,20,,,,,,17,,,41.6,,5711,HYDROPROCESSING,JP8,3/12/2014,1140302417,DLA0321Z,1779,1.2,,,,,,,,,,
3/25/2014,EOHS,"OA Houston Ship Channel, TX",Not assigned,#,50000005544,"6,714,540",,30,0.004,18.1,0.0014,,,,,,0.1243,,,,14.24,,PASS,,D2887,185,192,197,209,234,,250,,,,63,,,,0.804,44.3,,,-49.1,,4.719,,43.23,,,24,1B,,1,0.7,1,,1,,,0.4,,,,,,,,,,,,,5,,97,,20,,,,,,18.8,,,46.91,,2662,MILD HYDRATION,JP8,12/17/2013,2662,,G345,,,,,1B,,,,,,
3/25/2014,EOLM,"OA Liam, OH (OALM)",Not assigned,#,50000005533,"1,680,317",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,44.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DDU-081-091M,100% HYDROTREATED,JP8,3/10/2014,1517183,HUS0001Z,264,,,,,,,,,,,
3/25/2014,EOMB,"OA Mobile, AL (OAMB)",Not assigned,#,50000005517,"2,101,105",27,,,,,,,,,,,,,,,,PASS,0,,148,170,182,202,240,1,264,1,0.2,46,,,,,0.802,,,-49,,,,44.9,,,,,1A,,,,,,0.2,,,0.2,,,,,,,,,,,,,4,,68,,,,,,0.09,,15.3,,,,,350889,,JP8,3/10/2014,,DLA0310Z,FMT 3254,,,,,1B,,,1,270,,
3/25/2014,EOMB,"OA Mobile, AL (OAMB)",Not assigned,#,50000005518,"2,101,105",28,,,,,,,,,,,,,,,,PASS,0,,147,174,182,202,241,1,264,0.9,0.3,46,,,,,0.802,,,-49,,,,44.9,,,,,1A,,,,,,0.4,,,0.3,,,,,,,,,,,,,4,,53,,,,,,0.09,,15.3,,,,,350889,,JP8,3/10/2014,,DLA0310Z,FMT 3270,,,,,1B,,,1,265,,
3/25/2014,EONP,OA Alaska,Not assigned,#,50000005529,"18,694",30,,0.019,19,0.0007,,,,,,0.93,,,13.9,,,,,,140,160,170,197,246,1,268,1,0,40,,,,,0.813,42.5,,,-48,,4.6,,43,,,21,1A,600A  275C,,0,1,,1,,,0.4,,,,,,,,,,,,,5,,99,,,,,,0.08,,15.3,,,37.9,,,ATMOSPHERIC DISTILATION,JP8,3/7/2014,030814F-0273,DLA0312,F,2.5,,,,1,,,,351,,
3/25/2014,EOTS,"OA Tuscaloosa, AL",HUNT REFINING COMPANY,Inland East Gulf JP8 JP4 JAA,10000032568,"7,517",30,,0.009,16.5,0.0008,,,,,,0,,,14,,,PASS,,,172,182,186,198,229,,249,1.2,0.9,,,,,,0.7898,,,,,-54,3.9,47.6,43.4,,,26,1B,,,0,1,,0.1,,,0.16,,,,,,,,,,,,,4,99,,,,,,,,,,,,49.3,,,,JP8,3/17/2014,,DLA0320,94,0.8,,,,1B,,,,,,
3/25/2014,EOTS,"OA Tuscaloosa, AL",HUNT REFINING COMPANY,Inland East Gulf JP8 JP4 JAA,10000033959,"77,821",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410,MILDHDROPROCESSING,JP8,3/17/2014,1,DLA0324,94,,,,,,,,,,,
